id,content,gold,prediction,error_type,root_cause,fix_strategy
EV_005,The app crashes every time I open my main notebook,bug,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_008,The Pro plan price increased and is now too expensive for me,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_009,The pricing page clearly explains every plan,pricing,content,E1_CATEGORY_BOUNDARY,Category boundary selected content instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_010,The help article for workspace recovery is outdated,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_011,Your support agent solved my login issue in five minutes,customer_service,pricing,E1_CATEGORY_BOUNDARY,Category boundary selected pricing instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_012,Support has not replied to my billing ticket for six days,customer_service,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_014,Please let me customize the sidebar order,suggestion,request,E8_OTHER,Intent was classified request instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_015,Sync occasionally duplicates the same note,medium,high,E2_SEVERITY_RULE,Severity was classified high instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_016,Startup uses too much memory and slows my laptop,high,medium,E2_SEVERITY_RULE,Severity was classified medium instead of high.,Tighten workflow-impact and critical/high boundary definitions.
EV_017,The tutorial says to click a menu that no longer exists,content,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of content.,Clarify this category boundary with a minimal decision rule or example.
EV_019,"The app is okay, but I have not used search enough to judge it",other,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of other.,Clarify this category boundary with a minimal decision rule or example.
EV_020,"Search is fast, but the results miss notes saved last month",bug,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_021,Dark mode would make evening writing more comfortable,suggestion,request,E8_OTHER,Intent was classified request instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_023,Why was I charged twice for one monthly subscription?,pricing,bug,E1_CATEGORY_BOUNDARY,Category boundary selected bug instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_030,The app crashes every time I open my main notebook On desktop.,bug,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_033,The Pro plan price increased and is now too expensive for me On desktop.,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_034,The pricing page clearly explains every plan On desktop.,pricing,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_035,The help article for workspace recovery is outdated On desktop.,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_036,Your support agent solved my login issue in five minutes On desktop.,customer_service,other,E1_CATEGORY_BOUNDARY,Category boundary selected other instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_037,Support has not replied to my billing ticket for six days On desktop.,customer_service,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_039,Please let me customize the sidebar order On desktop.,suggestion,request,E8_OTHER,Intent was classified request instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_040,Sync occasionally duplicates the same note On desktop.,medium,high,E2_SEVERITY_RULE,Severity was classified high instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_042,The tutorial says to click a menu that no longer exists On desktop.,content,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of content.,Clarify this category boundary with a minimal decision rule or example.
EV_044,"The app is okay, but I have not used search enough to judge it On desktop.",other,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of other.,Clarify this category boundary with a minimal decision rule or example.
EV_045,"Search is fast, but the results miss notes saved last month On desktop.",bug,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_046,Dark mode would make evening writing more comfortable On desktop.,suggestion,request,E8_OTHER,Intent was classified request instead of suggestion.,Clarify complaint/request/suggestion/question decision order.
EV_048,Why was I charged twice for one monthly subscription? On desktop.,pricing,bug,E1_CATEGORY_BOUNDARY,Category boundary selected bug instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_055,The app crashes every time I open my main notebook This happened again today.,bug,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of bug.,Clarify this category boundary with a minimal decision rule or example.
EV_057,Is there a way to export all notebooks at once? This happened again today.,low,medium,E2_SEVERITY_RULE,Severity was classified medium instead of low.,Tighten workflow-impact and critical/high boundary definitions.
EV_058,The Pro plan price increased and is now too expensive for me This happened again today.,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_059,The pricing page clearly explains every plan This happened again today.,pricing,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of pricing.,Clarify this category boundary with a minimal decision rule or example.
EV_060,The help article for workspace recovery is outdated This happened again today.,medium,low,E2_SEVERITY_RULE,Severity was classified low instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_061,Your support agent solved my login issue in five minutes This happened again today.,customer_service,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_062,Support has not replied to my billing ticket for six days This happened again today.,customer_service,performance,E1_CATEGORY_BOUNDARY,Category boundary selected performance instead of customer_service.,Clarify this category boundary with a minimal decision rule or example.
EV_064,Please let me customize the sidebar order This happened again today.,feature_request,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of feature_request.,Clarify this category boundary with a minimal decision rule or example.
EV_065,Sync occasionally duplicates the same note This happened again today.,medium,high,E2_SEVERITY_RULE,Severity was classified high instead of medium.,Tighten workflow-impact and critical/high boundary definitions.
EV_067,The tutorial says to click a menu that no longer exists This happened again today.,content,ux,E1_CATEGORY_BOUNDARY,Category boundary selected ux instead of content.,Clarify this category boundary with a minimal decision rule or example.
